yyyymmdd,CS,FT,NE,SNE,SWF,SSWF,TYW,TC100,TC200,TC300,TC500,TC1000,NWPTY
20000526,0,0,0,0,1,1,0,0,0,0,0,0,0
20000527,0,0,0,0,1,0,0,0,0,0,0,0,0
20000528,0,1,1,0,1,0,0,0,0,0,0,0,0
20000529,0,1,0,0,0,0,0,0,0,0,0,0,1
20000530,0,0,0,0,0,0,0,0,0,0,0,0,1
20000531,0,0,0,0,0,0,0,0,0,0,0,0,1
20000601,0,0,0,0,0,0,0,0,0,0,0,0,1
20000602,0,0,0,0,0,0,0,0,0,0,0,0,0
20000603,0,0,0,0,0,0,0,0,0,0,0,0,0
20000604,0,0,0,0,0,0,0,0,0,0,0,0,0
20000605,0,1,0,0,1,0,0,0,0,0,0,0,0
20000606,0,1,0,0,1,0,0,0,0,0,0,0,0
20000607,0,1,0,0,1,1,0,0,0,0,0,0,0
20000608,0,0,0,0,1,1,0,0,0,0,0,0,0
20000609,0,1,0,0,1,1,0,0,0,0,0,0,0
20000610,0,1,0,0,1,1,0,0,0,0,0,0,0
20000611,0,1,0,0,1,1,0,0,0,0,0,0,0
20000612,0,1,0,0,1,1,0,0,0,0,0,0,0
20000613,0,1,0,0,1,1,0,0,0,0,0,0,0
20000614,0,0,0,0,1,0,0,0,0,0,0,0,0
20000615,0,1,0,0,1,0,0,0,0,0,0,0,0
20000616,0,1,0,0,1,0,0,0,0,0,0,1,1
20000617,0,1,0,0,1,1,0,0,0,0,0,1,1
20000618,0,1,0,0,1,1,0,0,0,0,0,1,1
20000619,0,1,0,0,1,0,0,0,0,0,0,0,0
20000620,0,0,0,0,1,1,0,0,0,0,0,0,0
20000621,0,0,0,0,1,1,0,0,0,0,0,0,0
20000622,0,0,0,0,1,1,0,0,0,0,0,0,0
20000623,0,0,0,0,1,1,0,0,0,0,0,0,0
20000624,0,0,0,0,1,1,0,0,0,0,0,0,0
20000625,0,0,0,0,0,0,0,0,0,0,0,0,0
20000626,0,0,0,0,0,0,0,0,0,0,0,0,0
20000627,0,0,0,0,0,0,0,0,0,0,0,0,0
20000628,0,0,0,0,0,0,0,0,0,0,0,0,0
20000629,0,0,0,0,0,0,0,0,0,0,0,0,0
20000630,0,0,0,0,0,0,0,0,0,0,0,0,0
20000701,0,0,0,0,0,0,0,0,0,0,0,0,0
20000702,0,0,0,0,0,0,0,0,0,0,0,1,1
20000703,0,0,0,0,0,0,0,0,0,0,0,1,1
20000704,0,0,0,0,0,0,0,0,0,0,1,1,1
20000705,0,0,0,0,0,0,0,0,0,0,1,1,1
20000706,0,0,0,0,0,0,1,0,0,1,1,1,1
20000707,0,0,0,0,0,0,1,0,0,1,1,1,1
20000708,0,0,0,0,0,0,1,1,1,1,1,1,1
20000709,0,0,0,0,1,0,1,1,1,1,1,1,1
20000710,0,0,0,0,0,0,0,0,0,0,0,1,1
20000711,0,0,0,0,0,0,0,0,0,0,0,0,1
20000712,0,0,0,0,0,0,0,0,0,0,0,1,1
20000713,0,0,0,0,0,0,0,0,0,0,0,1,1
20000714,0,0,0,0,0,0,0,0,0,0,0,1,1
20000715,0,0,0,0,1,1,0,0,0,0,0,1,1
20000716,0,0,0,0,1,1,0,0,0,0,0,1,1
20000717,0,0,0,0,1,1,0,0,0,0,0,1,1
20000718,0,0,0,0,1,1,0,0,0,0,0,0,1
20000719,0,0,0,0,1,1,0,0,0,0,0,0,1
20000720,0,0,0,0,1,0,0,0,0,0,0,0,1
20000721,0,0,0,0,0,0,0,0,0,0,0,1,1
20000722,0,0,0,0,0,0,0,0,0,0,0,1,1
20000723,0,0,0,0,0,0,0,0,0,0,1,1,1
20000724,0,0,0,0,1,0,0,0,0,0,1,1,1
20000725,0,0,0,0,1,1,0,0,0,0,1,1,1
20000726,0,0,0,0,1,1,0,0,0,0,0,1,1
20000727,0,0,0,0,1,1,0,0,0,0,0,1,1
20000728,0,0,0,0,1,1,0,0,0,0,0,1,1
20000729,0,0,0,0,1,1,0,0,0,0,0,1,1
20000730,0,0,0,0,1,1,0,0,0,0,0,1,1
20000731,0,0,0,0,1,1,0,0,0,0,0,0,1
20000801,0,0,0,0,1,1,0,0,0,0,0,0,1
20000802,0,0,0,0,1,1,0,0,0,0,0,0,1
20000803,0,0,0,0,1,1,0,0,0,0,0,0,1
20000804,0,0,0,0,1,0,0,0,0,0,0,0,1
20000805,0,0,0,0,1,0,0,0,0,0,0,0,1
20000806,0,0,0,0,1,0,0,0,0,0,0,1,1
20000807,0,0,0,0,0,0,0,0,0,0,0,1,1
20000808,0,0,0,0,0,0,0,0,0,0,0,1,1
20000809,0,0,0,0,0,0,0,0,0,0,1,1,1
20000810,0,0,0,0,0,0,0,0,0,0,1,1,1
20000811,0,0,0,0,1,0,0,0,0,0,0,1,1
20000812,0,0,0,0,1,0,0,0,0,0,0,1,1
20000813,0,0,0,0,1,1,0,0,0,0,0,0,1
20000814,0,0,0,0,1,1,0,0,0,0,0,0,1
20000815,0,0,0,0,1,0,0,0,0,0,0,0,1
20000816,0,0,0,0,1,0,0,0,0,0,0,0,1
20000817,0,0,0,0,0,0,0,0,0,0,0,0,1
20000818,0,0,0,0,0,0,0,0,0,0,0,0,1
20000819,0,0,0,0,0,0,0,0,0,0,0,0,1
20000820,0,0,0,0,0,0,0,0,0,0,0,1,1
20000821,0,0,0,0,0,0,1,0,0,0,1,1,1
20000822,0,0,0,0,1,1,1,1,1,1,1,1,1
20000823,0,0,0,0,1,1,1,0,1,1,1,1,1
20000824,0,0,0,0,1,1,0,0,0,0,1,1,1
20000825,0,0,0,0,1,0,0,0,0,0,0,1,1
20000826,0,0,0,0,1,0,0,0,0,0,0,1,1
20000827,0,0,0,0,1,1,1,0,0,0,0,1,1
20000828,0,0,0,0,1,1,1,0,0,0,1,1,1
20000829,0,0,0,0,1,1,1,0,0,1,1,1,1
20000830,0,0,0,0,1,1,1,0,0,1,1,1,1
20000831,0,0,0,0,1,1,0,0,0,0,1,1,1
20000901,0,0,0,0,1,1,0,0,0,0,0,1,1
20000902,0,0,0,0,1,0,0,0,0,0,0,1,1
20000903,0,0,0,0,0,0,0,0,0,0,0,0,1
20000904,0,0,0,0,0,0,0,0,0,0,0,1,1
20000905,0,1,1,0,0,0,0,0,0,0,0,1,1
20000906,0,0,1,1,0,0,0,0,0,0,0,1,1
20000907,0,0,1,1,0,0,0,0,0,0,0,1,1
20000908,0,0,0,0,0,0,1,0,0,0,1,1,1
20000909,0,0,0,0,0,0,1,0,1,1,1,1,1
