yyyymmdd,CS,FT,NE,SNE,SWF,SSWF,TYW,TC100,TC200,TC300,TC500,TC1000,NWPTY
20150928,0,0,0,0,0,0,1,1,1,1,1,1,1
20150929,0,0,0,0,1,0,1,0,1,1,1,1,1
20150930,0,0,0,0,1,0,0,0,0,0,0,1,1
20151001,0,0,0,0,0,0,0,0,0,0,0,1,1
20151002,0,0,1,1,0,0,0,0,0,0,0,1,1
20151003,0,0,0,0,0,0,0,0,0,0,0,1,1
20151004,0,0,0,0,0,0,0,0,0,0,0,1,1
20151005,0,0,0,0,0,0,0,0,0,0,0,0,1
20151006,0,0,1,0,0,0,0,0,0,0,0,0,1
20151007,0,0,0,0,0,0,0,0,0,0,0,0,1
20151008,0,1,0,0,0,0,0,0,0,0,0,0,1
20151009,0,1,1,1,0,0,0,0,0,0,0,0,1
20151010,0,1,1,0,0,0,0,0,0,0,0,0,1
20151011,0,0,1,1,0,0,0,0,0,0,0,0,1
20151012,0,0,1,1,0,0,0,0,0,0,0,0,1
20151013,0,0,1,1,0,0,0,0,0,0,0,0,1
20151014,0,0,1,0,0,0,0,0,0,0,0,0,1
20151015,0,0,1,1,0,0,0,0,0,0,0,0,1
20151016,0,0,1,1,0,0,0,0,0,0,0,1,1
20151017,0,0,1,1,0,0,0,0,0,0,0,1,1
20151018,0,0,1,1,0,0,0,0,0,0,0,1,1
20151019,0,0,1,1,0,0,0,0,0,0,1,1,1
20151020,0,0,1,1,0,0,0,0,0,1,1,1,1
20151021,0,0,1,1,0,0,0,0,0,0,1,1,1
20151022,0,0,1,1,0,0,0,0,0,0,0,0,1
20151023,0,0,1,0,0,0,0,0,0,0,0,0,1
20151024,0,0,1,0,0,0,0,0,0,0,0,0,1
20151025,0,0,1,0,0,0,0,0,0,0,0,0,1
20151026,0,0,0,0,0,0,0,0,0,0,0,0,1
20151027,0,0,0,0,0,0,0,0,0,0,0,0,0
20151028,0,0,0,0,0,0,0,0,0,0,0,0,0
20151029,0,0,0,0,0,0,0,0,0,0,0,0,0
20151030,0,1,1,1,0,0,0,0,0,0,0,0,0
20151031,0,1,1,1,0,0,0,0,0,0,0,0,0
20151101,0,0,1,0,0,0,0,0,0,0,0,0,0
20151102,0,0,1,1,0,0,0,0,0,0,0,0,0
20151103,0,0,1,1,0,0,0,0,0,0,0,0,0
20151104,0,0,0,0,0,0,0,0,0,0,0,0,0
20151105,0,0,0,0,0,0,0,0,0,0,0,0,0
20151106,0,0,0,0,0,0,0,0,0,0,0,0,0
20151107,0,0,0,0,0,0,0,0,0,0,0,0,0
20151108,0,0,0,0,0,0,0,0,0,0,0,0,0
20151109,0,0,1,1,0,0,0,0,0,0,0,0,0
20151110,0,0,1,1,0,0,0,0,0,0,0,0,0
20151111,0,0,1,1,0,0,0,0,0,0,0,0,0
20151112,0,0,0,0,0,0,0,0,0,0,0,0,0
20151113,0,0,0,0,0,0,0,0,0,0,0,0,0
20151114,0,1,1,0,0,0,0,0,0,0,0,0,0
20151115,0,0,0,0,0,0,0,0,0,0,0,0,0
